Customer Code,Capacity in KW,State,District,Latitude,Longitude,Total Cost (Rs),CFA (Rs),Commissioning Date(installation date),Approval Number,Financial Year,Installed by Agency
36696,500.00,MAHARASHTRA,Thane,19.1755616,72.990192200000,0,0.00,27-12-2016,---,---,Prozeal Infra Engineering Private Limited
36677,4.96,HARYANA,Panchkula,30.7057448,76.860197599999,370000,99200.00,08-05-2017,03/106/2015-16/GCRT,2016-2017,Haryana Renewable Energy Development Agency (HAREDA)
36673,1000.00,KERALA,Pathanamthitta,9.2223864030650,76.677421638742,0,0.00,14-04-2017,---,---,Teslatronics Advanced Energy Solutions
36671,1076.00,MAHARASHTRA,Mumbai,12.7668295,77.787745099999,0,0.00,31-03-2017,---,---,Oriano Clean Energy Pvt. Ltd.
36658,20.00,NCT OF DELHI,East,28.6856975,77.322402000000,0,0.00,20-10-2015,---,---,BNK ENERGY ALTERNATIVES
36654,5.00,MAHARASHTRA,Nagpur,28.588609857480,77.232371449508,400000,0.00,09-05-2017,---,---,SAI ENTERPRISES
36652,10.00,MAHARASHTRA,Latur,18.393101695742,76.581872552633,600000,0.00,22-06-2017,---,---,TECHDRIVE ENGINEERING PVT LTD
36649,20.00,KARNATAKA,Gadag,15.229443287672,75.575779387727,0,0.00,14-09-2016,---,---,ARROW POWER CONTROLS
36645,5.00,KERALA,Malappuram,11.2489445,76.050794900000,551238,120000.00,20-02-2017,5/38/2013-14/RT,2014-2015,"Agency for Non-Conventional Energy and  Rural Technology (ANERT),"
36644,45.00,NCT OF DELHI,Central,28.5864833,77.1843211,0,0.00,03-05-2017,---,---,TARA POWER TECH
36643,10.00,KARNATAKA,Dakshina Kannada,12.9190028,74.903338999999,835000,0.00,07-06-2017,---,---,Orb Energy Pvt Ltd
36642,21.76,TAMIL NADU,Chennai,13.062688370042,80.249525159597,2074008,0.00,14-04-2017,---,---,DD PROJECT SERVICES PRIVATE LIMITED
36639,1228.00,MAHARASHTRA,Pune,18,73,0,0.00,22-05-2017,---,---,Oriano Clean Energy Pvt. Ltd.
36638,20.00,KARNATAKA,Gadag,15.233586657637,75.580872902646,0,0.00,14-09-2016,---,---,ARROW POWER CONTROLS
36636,5.00,ANDHRA PRADESH,Vizianagaram,18.056338759054,83.410304300487,0,0.00,21-06-2016,---,---,ARKA GREEN POWER PRIVATE LIMITED
