Customer Code,Capacity in KW,State,District,Latitude,Longitude,Total Cost (Rs),CFA (Rs),Commissioning Date(installation date),Approval Number,Financial Year,Installed by Agency
28973,2.00,GUJARAT,Surat,21.1925707,72.799735599999,138000,41400.00,29-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28972,2.00,GUJARAT,Surat,21.1925707,72.799735599999,138000,41400.00,31-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28970,3.00,GUJARAT,Surat,21.251309709588,72.839623270556,207000,62100.00,28-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28964,20.00,UTTAR PRADESH,Noida,28.535517,77.391029,1293000,0.00,01-04-2017,---,---,DRS Energy Pvt Ltd
28912,2.00,GUJARAT,Ahmadabad,23.043444,72.659167,138000,41400.00,27-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28911,3.50,GUJARAT,Surat,21.171925,72.814989,241500,72450.00,04-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28910,3.50,GUJARAT,Surat,23.030467,72.463153,241500,72450.00,04-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28908,5.00,GUJARAT,Ahmadabad,23.030467,72.463153,345000,103500.00,31-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28905,3.50,GUJARAT,Ahmadabad,23.066950,72.513144,241500,72450.00,31-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28904,4.00,GUJARAT,Ahmadabad,23.007661,72.546731,276000,82800.00,07-10-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28903,3.00,GUJARAT,Ahmadabad,23.045192,72.676886,207000,62100.00,26-11-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28900,3.00,GUJARAT,Ahmadabad,23.040017,72.554189,207000,62100.00,23-08-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28898,1.00,GUJARAT,Bhavnagar,21.7629166,72.154763099999,69000,20700.00,11-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28896,5.00,GUJARAT,Mahesana,23.5879607,72.369325200000,345000,103500.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28894,1.00,GUJARAT,Bhavnagar,22.2675444,70.7956842,69000,20700.00,11-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28893,50.00,CHHATTISGARH,Sukma,18.391166110909,81.658591646701,4135090,1200000.00,18-10-2016,5/38/2013-14/RT,2014-2015,Chattisgarh State Renewable Energy Development Agency (CREDA)
28892,5.00,GUJARAT,Mahesana,23.5879607,72.369325200000,345000,103500.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28890,2.00,GUJARAT,Surat,21.243266,72.877024600000,138000,41400.00,25-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28889,1.00,GUJARAT,Surat,21.2468063,72.851423000000,69000,20700.00,09-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28884,1.00,GUJARAT,Mahesana,23.5879607,72.369325200000,69000,20700.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28883,2.00,GUJARAT,Surat,21.0834771,72.879328799999,138000,41400.00,31-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28882,1.00,GUJARAT,Surat,21.1672844,72.873476100000,69000,20700.00,31-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28881,5.00,GUJARAT,Mahesana,23.6090066,72.385755799999,345000,103500.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28880,3.00,GUJARAT,Gandhinagar,23.232800,72.663900,207000,62100.00,19-10-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28879,2.00,GUJARAT,Surat,21.1947303,72.8320363,138000,41400.00,09-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28878,2.00,GUJARAT,Gandhinagar,23.2424211,72.674965199999,138000,41400.00,28-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28876,2.00,GUJARAT,Surat,21.2017395,72.848992400000,138000,41400.00,25-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28875,3.00,GUJARAT,Surat,21.2017395,72.848992400000,207000,62100.00,06-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28873,5.00,GUJARAT,Ahmadabad,23.037519,72.559647,345000,103500.00,17-08-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28871,5.00,GUJARAT,Ahmadabad,23.039586,72.563925,345000,103500.00,28-10-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28865,2.50,GUJARAT,Ahmadabad,23.065708,72.517739,172500,51750.00,04-10-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28863,2.50,GUJARAT,Ahmadabad,23.087414,72.535297,172500,51750.00,07-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28862,501.85,ANDHRA PRADESH,Chittoor,13.625551005822,79.435443878173,40132500,3696000.00,12-03-2017,03/38/2015-16/GCRT (Part-I),2015-2016,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28858,2.50,GUJARAT,Ahmadabad,23.087414,72.535297,172500,51750.00,21-08-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28851,81.28,MAHARASHTRA,Nashik,19.947199633876,73.739855596795,0,0.00,20-04-2017,---,---,LeanWay Energy Private Limited
28799,8.32,NCT OF DELHI,West,28.647888860291,77.143385231511,0,0.00,15-04-2017,---,---,Erigeron Energy Pvt Ltd
28776,3.00,GUJARAT,Surat,21.212642458754,72.791826305910,207000,62100.00,04-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28773,1.00,GUJARAT,Surat,21.232084857703,72.788757858797,69000,20700.00,09-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28770,2.00,GUJARAT,Surat,21.191249517160,72.799958344548,138000,41400.00,22-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28768,1.00,GUJARAT,Surat,21.2281242,72.8337699,69000,20700.00,07-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28766,1.00,GUJARAT,Surat,21.236592,72.8268071,69000,20700.00,22-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28765,2.00,GUJARAT,Surat,21.2074,72.7982,138000,41400.00,24-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28761,2.00,KARNATAKA,Bangalore,12.960050976219,77.530733391176,150000,0.00,26-04-2017,---,---,enArka Instruments Pvt Ltd
28721,3.00,GUJARAT,Gandhinagar,23.118306,72.594944,207000,62100.00,04-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28720,3.00,GUJARAT,Ahmadabad,23.033167,72.468306,207000,62100.00,07-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28718,1.00,GUJARAT,Ahmadabad,23.048417,72.668833,69000,20700.00,11-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28717,3.00,GUJARAT,Ahmadabad,23.045944,72.679306,207000,62100.00,15-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28713,3.00,GUJARAT,Surat,21.2395838,72.787076099999,207000,62100.00,24-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28711,2.00,GUJARAT,Surat,28.588191992149,77.235296387225,138000,41400.00,25-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28710,1.00,GUJARAT,Surat,28.587975313672,77.231997270137,69000,20700.00,21-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28709,5.00,GUJARAT,Ahmadabad,23.029111,72.644583,345000,103500.00,27-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28708,2.00,GUJARAT,Surat,21.2353547,72.8813097,138000,41400.00,04-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28707,2.40,GUJARAT,Ahmadabad,23.048064,72.643311,165600,49680.00,07-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28706,2.00,GUJARAT,Surat,21.2317334,72.821017200000,138000,41400.00,09-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28705,5.00,GUJARAT,Ahmadabad,23.048583,72.644667,345000,103500.00,22-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28703,3.00,GUJARAT,Surat,23.1563332,72.665521099999,207000,62100.00,06-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28702,2.00,GUJARAT,Surat,21.2361999,72.8799426,138000,41400.00,18-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28701,2.00,GUJARAT,Ahmadabad,23.0336769,72.463411700000,138000,41400.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28699,2.40,GUJARAT,Surat,21.200500,72.874556,165600,49680.00,08-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28698,2.00,GUJARAT,Surat,21.2140732,72.8289052,138000,41400.00,15-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28697,3.00,GUJARAT,Ahmadabad,23.0650793,72.511478399999,138000,62100.00,22-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28695,1.00,GUJARAT,Surat,21.2074014,72.798184699999,69000,20700.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28693,5.00,GUJARAT,Ahmadabad,23.0808759,72.491477799999,345000,103500.00,27-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28692,1.00,GUJARAT,Surat,21.2388864,72.911818999999,69000,20700.00,09-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28688,5.00,GUJARAT,Ahmadabad,23.0842436,72.492655799999,345000,103500.00,27-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28686,2.00,GUJARAT,Surat,21.2102351,72.858460199999,138000,41400.00,25-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28685,2.40,GUJARAT,Surat,21.200472,72.874639,165600,49680.00,08-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28684,6.00,GUJARAT,Ahmadabad,22.9087907,72.638770000000,414000,124200.00,02-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28683,2.00,GUJARAT,Surat,21.2013894,72.864946700000,138000,41400.00,25-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28682,3.00,GUJARAT,Ahmadabad,22.9961698,72.599584300000,207000,62100.00,28-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28681,3.00,GUJARAT,Surat,21.2013894,72.864946700000,207000,62100.00,09-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28679,1.00,GUJARAT,Surat,21.2281242,72.8337699,69000,20700.00,18-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28678,2.00,GUJARAT,Ahmadabad,22.99619,72.523509200000,138000,41400.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28676,7.50,GUJARAT,Ahmadabad,22.9087907,72.638770000000,517500,155250.00,29-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28673,2.00,GUJARAT,Ahmadabad,23.1036054,72.602404400000,138000,41400.00,25-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28672,3.00,GUJARAT,Surat,21.2045606,72.785813100000,207000,62100.00,20-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28671,3.90,GUJARAT,Ahmadabad,23.024483,72.661458,269100,80730.00,11-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28670,3.50,GUJARAT,Ahmadabad,23.039444,72.520556,241500,72450.00,11-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28669,1.00,GUJARAT,Surat,21.267554399999,72.95,69000,20700.00,09-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28668,2.00,GUJARAT,Surat,21.18,72.82,138000,41400.00,20-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28667,6.90,GUJARAT,Ahmadabad,23.056111,72.672556,476100,142830.00,27-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28666,5.00,GUJARAT,Surat,21.168544099999,72.7931241,345000,103500.00,03-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28665,6.90,GUJARAT,Ahmadabad,23.056000,72.673194,476100,142830.00,27-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28664,3.00,GUJARAT,Ahmadabad,23.071000,72.646411,207000,62100.00,22-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28663,3.00,GUJARAT,Surat,21.086306,72.724972,207000,62100.00,22-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28660,6.00,GUJARAT,Ahmadabad,23.039839,72.515828,414000,124200.00,17-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28658,3.00,GUJARAT,Surat,21.093361,72.710361,207000,62100.00,22-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28656,1.00,GUJARAT,Surat,21.175444,72.866306,69000,20700.00,22-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28655,30.00,ANDHRA PRADESH,Kodapa,14.468424872388,78.835487365722,1950000,585000.00,10-02-2017,5/38/2013-14/RT,2014-2015,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28654,3.50,GUJARAT,Ahmadabad,23.047417,72.675694,241500,72450.00,11-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28653,100.00,ANDHRA PRADESH,Kurnool,15.836352355141,78.022499084472,6300000,2400000.00,22-12-2016,5/38/2013-14/RT,2014-2015,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28652,3.00,GUJARAT,Surat,21.229278,72.867083,207000,62100.00,20-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28651,3.00,GUJARAT,Surat,21.268833,72.955556,207000,62100.00,18-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28648,3.50,GUJARAT,Surat,21.152867,72.773256,241500,72450.00,21-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28647,2.00,GUJARAT,Surat,21.207667,72.827778,138000,41400.00,24-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28646,30.00,MAHARASHTRA,Mumbai (Suburban),19.071730382909,72.864347705617,2000000,0.00,13-04-2017,---,---,Saur Engineers & Consultants Pvt Ltd
28645,2.00,GUJARAT,Surat,21.154389,72.775083,138000,41400.00,09-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28644,2.00,GUJARAT,Surat,21.224417,72.818056,138000,41400.00,22-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28606,2.00,GUJARAT,Surat,21.2508,72.851423000000,138000,41400.00,18-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28605,2.00,GUJARAT,Vadodara,22.298985264257,73.243207968771,138000,41400.00,13-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28604,2.00,GUJARAT,Surat,21.2508,72.8486,138000,41400.00,18-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28603,1.00,GUJARAT,Vadodara,22.294270099338,73.146251477301,69000,20700.00,09-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28602,10.00,GUJARAT,Ahmadabad,23.082220894430,72.529988035094,690000,207000.00,16-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28600,2.00,GUJARAT,Vadodara,22.287423986087,73.230959828943,138000,41400.00,05-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28599,2.00,GUJARAT,Bhavnagar,21.7533231,72.151979699999,138000,41400.00,27-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28597,4.00,GUJARAT,Ahmadabad,23.048417,72.668861,276000,82800.00,31-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28596,3.00,GUJARAT,Vadodara,22.294041782050,73.145200051367,207000,62100.00,21-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28595,3.00,GUJARAT,Surat,21.229404,72.864192,207000,62100.00,18-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28594,4.00,GUJARAT,Ahmadabad,23.032,72.466,276000,82800.00,25-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28590,10.00,GUJARAT,Ahmadabad,23.0415,72.4911148,690000,207000.00,10-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28588,2.00,GUJARAT,Vadodara,22.316742635800,73.210721053183,138000,41400.00,20-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28587,3.00,GUJARAT,Surat,21.2573,72.8626,207000,62100.00,23-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28586,300.00,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,14.395776085880,79.975662231445,19550000,5400000.00,08-02-2017,5/38/2013-14/RT,2014-2015,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28585,2.00,GUJARAT,Vadodara,22.3071588,73.1812187,138000,41400.00,05-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28584,4.00,GUJARAT,Ahmadabad,23.060097,72.658692,276000,82800.00,07-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28583,4.00,GUJARAT,Vadodara,22.293297266565,73.239109553396,276000,82800.00,07-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28582,3.00,GUJARAT,Surat,21.295209,72.8793326,207000,62100.00,21-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28580,150.00,ANDHRA PRADESH,Sri Potti Sriramulu Nellore,14.436508874722,79.978065490722,9750000,2700000.00,01-02-2017,5/38/2013-14/RT,2014-2015,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28579,2.00,GUJARAT,Vadodara,22.293714195726,73.236674107611,138000,41400.00,13-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28578,6.00,GUJARAT,Ahmadabad,23.0531,72.477,414000,124200.00,10-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28577,3.00,GUJARAT,Surat,21.256833,72.860387,207000,72000.00,20-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28575,3.50,GUJARAT,Surat,21.193444,72.804833,241500,72450.00,14-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28574,2.00,GUJARAT,Vadodara,22.357384112034,73.227051850408,138000,41400.00,16-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28573,3.00,GUJARAT,Ahmadabad,23.046481,72.661294,207000,62100.00,02-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28572,3.00,GUJARAT,Surat,21.2573,72.8626,207000,62100.00,20-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28570,1.00,GUJARAT,Vadodara,22.323255452967,73.150902092456,69000,20700.00,21-12-2016,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28569,1.00,GUJARAT,Surat,21.237978,72.901247,69000,20700.00,15-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28568,3.00,GUJARAT,Surat,21.2074014,72.798184699999,207000,62100.00,21-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28567,2.00,GUJARAT,Vadodara,22.3071588,73.1812187,69000,41400.00,09-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28566,4.50,GUJARAT,Ahmadabad,23.025428,72.556183,310500,93150.00,22-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28564,2.00,GUJARAT,Vadodara,22.345697429761,73.165640411898,138000,41400.00,09-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28563,3.00,GUJARAT,Surat,21.187044,72.795953,207000,62100.00,04-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28562,1.00,GUJARAT,Vadodara,22.309612104044,73.148452816531,69000,20700.00,09-01-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28560,3.00,GUJARAT,Surat,21.187750,72.795583,207000,62100.00,08-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28559,3.00,GUJARAT,Surat,21.231364,72.8589,207000,62100.00,20-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28558,3.00,GUJARAT,Surat,21.2306462,72.867069300000,207000,62100.00,20-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28556,3.00,GUJARAT,Surat,21.231364,72.866080,207000,62100.00,20-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28553,2.00,GUJARAT,Surat,21.176,73.1246,138000,41400.00,21-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28552,20.00,ANDHRA PRADESH,Kurnool,15.848451515918,78.041747957468,1400000,390000.00,11-01-2017,03/73/2015-16/GCRT,2015-2016,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28548,1.00,GUJARAT,Surat,21.239667,72.939972,69000,20700.00,10-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28547,70.00,UTTAR PRADESH,Noida,28.487544913179,77.533401288092,0,0.00,31-03-2017,---,---,Arunachal Pradesh Power Corporation Pvt. Ltd.
28546,50.00,ANDHRA PRADESH,Kurnool,15.795601058837,78.041748125106,3500000,975000.00,07-01-2017,03/73/2015-16/GCRT,2015-2016,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28545,2.00,GUJARAT,Surat,21.213500,72.825167,138000,41400.00,01-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28544,6.00,GUJARAT,Ahmadabad,23.048550,72.674453,414000,124200.00,23-02-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28540,50.00,UTTAR PRADESH,Noida,28.468314921649,77.505046147853,0,0.00,31-03-2017,---,---,Arunachal Pradesh Power Corporation Pvt. Ltd.
28539,5.00,ANDHRA PRADESH,Kodapa,14.448688298217,78.832763750106,370014,105000.00,01-03-2017,03/73/2015-16/GCRT,2015-2016,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28538,5.00,ANDHRA PRADESH,Kodapa,14.448688298217,78.821777254343,370014,105000.00,01-03-2017,03/73/2015-16/GCRT,2015-2016,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28537,5.00,ANDHRA PRADESH,Kodapa,14.469964973457,78.832763582468,370014,105000.00,01-03-2017,03/73/2015-16/GCRT,2015-2016,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28536,5.00,ANDHRA PRADESH,Kodapa,14.438049196927,78.810791093856,370014,105000.00,14-03-2017,03/73/2015-16/GCRT,2015-2016,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28531,3.00,ANDHRA PRADESH,Visakhapatnam,17.678742543468,83.205322343856,300000,63000.00,21-09-2016,5/38/2013-14/RT,2014-2015,Andhra Pradesh - New & Renewable Energy Development Corporation of Andhra Pradesh (NREDCAP)
28416,2.00,GUJARAT,Surat,21.30,72.95,138000,41400.00,10-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
28414,3.00,GUJARAT,Bhavnagar,21.75,72.14,207000,62100.00,31-03-2017,03/106/2015-16/GCRT/part III,2016-2017,Gujarat Energy Development Agency (GEDA)
